SEASON,MMWR-YEAR,MMWR-WEEK,NO. OF DEATHS ,PREVIOUS WEEK DEATHS,CURRENT WEEK DEATHS
2017-18,2017,40,0,0,0
2017-18,2017,41,0,0,0
2017-18,2017,42,1,1,0
2017-18,2017,43,0,0,0
2017-18,2017,44,3,3,0
2017-18,2017,45,2,2,0
2017-18,2017,46,2,2,0
2017-18,2017,47,1,1,0
2017-18,2017,48,0,0,0
2017-18,2017,49,0,0,0
2017-18,2017,50,3,3,0
2017-18,2017,51,8,8,0
2017-18,2017,52,7,7,0
2017-18,2018,1,15,15,0
2017-18,2018,2,10,10,0
2017-18,2018,3,14,14,0
2017-18,2018,4,18,18,0
2017-18,2018,5,12,12,0
2017-18,2018,6,17,17,0
2017-18,2018,7,11,11,0
2017-18,2018,8,14,14,0
2017-18,2018,9,13,13,0
2017-18,2018,10,3,3,0
2017-18,2018,11,6,6,0
2017-18,2018,12,4,4,0
2017-18,2018,13,5,5,0
2017-18,2018,14,4,4,0
2017-18,2018,15,0,0,0
2017-18,2018,16,4,4,0
2017-18,2018,17,0,0,0
2017-18,2018,18,1,1,0
2017-18,2018,19,1,1,0
2017-18,2018,20,1,1,0
2017-18,2018,21,2,2,0
2017-18,2018,22,1,1,0
2017-18,2018,23,0,0,0
2017-18,2018,24,0,0,0
2017-18,2018,25,0,0,0
2017-18,2018,26,0,0,0
2017-18,2018,27,0,0,0
2017-18,2018,28,0,0,0
2017-18,2018,29,0,0,0
2017-18,2018,30,0,0,0
2017-18,2018,31,0,0,0
2017-18,2018,32,0,0,0
2017-18,2018,33,0,0,0
2017-18,2018,34,0,0,0
2017-18,2018,35,0,0,0
2017-18,2018,36,0,0,0
2017-18,2018,37,0,0,0
2017-18,2018,38,2,2,0
2017-18,2018,39,0,0,0
