CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,FluSurv-NET,2017-18,2017,40,0-4 yr,0.1,0.1
Entire Network,FluSurv-NET,2017-18,2017,41,0-4 yr,0.2,0.1
Entire Network,FluSurv-NET,2017-18,2017,42,0-4 yr,0.3,0.1
Entire Network,FluSurv-NET,2017-18,2017,43,0-4 yr,0.4,0.1
Entire Network,FluSurv-NET,2017-18,2017,44,0-4 yr,0.7,0.3
Entire Network,FluSurv-NET,2017-18,2017,45,0-4 yr,0.9,0.2
Entire Network,FluSurv-NET,2017-18,2017,46,0-4 yr,1.2,0.4
Entire Network,FluSurv-NET,2017-18,2017,47,0-4 yr,2,0.7
Entire Network,FluSurv-NET,2017-18,2017,48,0-4 yr,2.9,0.9
Entire Network,FluSurv-NET,2017-18,2017,49,0-4 yr,3.7,0.9
Entire Network,FluSurv-NET,2017-18,2017,50,0-4 yr,5.6,1.8
Entire Network,FluSurv-NET,2017-18,2017,51,0-4 yr,8.2,2.7
Entire Network,FluSurv-NET,2017-18,2017,52,0-4 yr,13.6,5.3
Entire Network,FluSurv-NET,2017-18,2018,1,0-4 yr,17.8,4.2
Entire Network,FluSurv-NET,2017-18,2018,2,0-4 yr,22.7,5
Entire Network,FluSurv-NET,2017-18,2018,3,0-4 yr,27.4,4.7
Entire Network,FluSurv-NET,2017-18,2018,4,0-4 yr,34.7,7.3
Entire Network,FluSurv-NET,2017-18,2018,5,0-4 yr,41.5,6.8
Entire Network,FluSurv-NET,2017-18,2018,6,0-4 yr,48,6.5
Entire Network,FluSurv-NET,2017-18,2018,7,0-4 yr,53.4,5.4
Entire Network,FluSurv-NET,2017-18,2018,8,0-4 yr,57.6,4.3
Entire Network,FluSurv-NET,2017-18,2018,9,0-4 yr,60,2.4
Entire Network,FluSurv-NET,2017-18,2018,10,0-4 yr,62.1,2
Entire Network,FluSurv-NET,2017-18,2018,11,0-4 yr,63.9,1.9
Entire Network,FluSurv-NET,2017-18,2018,12,0-4 yr,66.2,2.3
Entire Network,FluSurv-NET,2017-18,2018,13,0-4 yr,67.4,1.2
Entire Network,FluSurv-NET,2017-18,2018,14,0-4 yr,68.3,0.9
Entire Network,FluSurv-NET,2017-18,2018,15,0-4 yr,69.2,0.9
Entire Network,FluSurv-NET,2017-18,2018,16,0-4 yr,69.8,0.6
Entire Network,FluSurv-NET,2017-18,2018,17,0-4 yr,71,1.1
Entire Network,FluSurv-NET,2017-18,2017,40,5-17 yr,0,0
Entire Network,FluSurv-NET,2017-18,2017,41,5-17 yr,0.1,0
Entire Network,FluSurv-NET,2017-18,2017,42,5-17 yr,0.1,0
Entire Network,FluSurv-NET,2017-18,2017,43,5-17 yr,0.1,0
Entire Network,FluSurv-NET,2017-18,2017,44,5-17 yr,0.3,0.1
Entire Network,FluSurv-NET,2017-18,2017,45,5-17 yr,0.4,0.1
Entire Network,FluSurv-NET,2017-18,2017,46,5-17 yr,0.6,0.2
Entire Network,FluSurv-NET,2017-18,2017,47,5-17 yr,0.8,0.2
Entire Network,FluSurv-NET,2017-18,2017,48,5-17 yr,1,0.2
Entire Network,FluSurv-NET,2017-18,2017,49,5-17 yr,1.3,0.3
Entire Network,FluSurv-NET,2017-18,2017,50,5-17 yr,1.8,0.6
Entire Network,FluSurv-NET,2017-18,2017,51,5-17 yr,2.5,0.6
Entire Network,FluSurv-NET,2017-18,2017,52,5-17 yr,3.4,0.9
Entire Network,FluSurv-NET,2017-18,2018,1,5-17 yr,4.2,0.8
Entire Network,FluSurv-NET,2017-18,2018,2,5-17 yr,5.6,1.3
Entire Network,FluSurv-NET,2017-18,2018,3,5-17 yr,6.8,1.3
Entire Network,FluSurv-NET,2017-18,2018,4,5-17 yr,8.2,1.4
Entire Network,FluSurv-NET,2017-18,2018,5,5-17 yr,10.3,2.1
Entire Network,FluSurv-NET,2017-18,2018,6,5-17 yr,12.2,1.9
Entire Network,FluSurv-NET,2017-18,2018,7,5-17 yr,13.9,1.7
Entire Network,FluSurv-NET,2017-18,2018,8,5-17 yr,15.5,1.6
Entire Network,FluSurv-NET,2017-18,2018,9,5-17 yr,16.3,0.8
Entire Network,FluSurv-NET,2017-18,2018,10,5-17 yr,17,0.7
Entire Network,FluSurv-NET,2017-18,2018,11,5-17 yr,17.6,0.5
Entire Network,FluSurv-NET,2017-18,2018,12,5-17 yr,18.2,0.6
Entire Network,FluSurv-NET,2017-18,2018,13,5-17 yr,18.7,0.5
Entire Network,FluSurv-NET,2017-18,2018,14,5-17 yr,18.9,0.2
Entire Network,FluSurv-NET,2017-18,2018,15,5-17 yr,19,0.1
Entire Network,FluSurv-NET,2017-18,2018,16,5-17 yr,19.2,0.2
Entire Network,FluSurv-NET,2017-18,2018,17,5-17 yr,19.5,0.3
Entire Network,FluSurv-NET,2017-18,2017,40,18-49 yr,0.1,0.1
Entire Network,FluSurv-NET,2017-18,2017,41,18-49 yr,0.1,0
Entire Network,FluSurv-NET,2017-18,2017,42,18-49 yr,0.2,0.1
Entire Network,FluSurv-NET,2017-18,2017,43,18-49 yr,0.2,0
Entire Network,FluSurv-NET,2017-18,2017,44,18-49 yr,0.4,0.1
Entire Network,FluSurv-NET,2017-18,2017,45,18-49 yr,0.5,0.1
Entire Network,FluSurv-NET,2017-18,2017,46,18-49 yr,0.7,0.2
Entire Network,FluSurv-NET,2017-18,2017,47,18-49 yr,0.9,0.3
Entire Network,FluSurv-NET,2017-18,2017,48,18-49 yr,1.4,0.4
Entire Network,FluSurv-NET,2017-18,2017,49,18-49 yr,1.9,0.5
Entire Network,FluSurv-NET,2017-18,2017,50,18-49 yr,2.6,0.7
Entire Network,FluSurv-NET,2017-18,2017,51,18-49 yr,4,1.4
Entire Network,FluSurv-NET,2017-18,2017,52,18-49 yr,6.1,2.1
Entire Network,FluSurv-NET,2017-18,2018,1,18-49 yr,8.5,2.5
Entire Network,FluSurv-NET,2017-18,2018,2,18-49 yr,11.5,3
Entire Network,FluSurv-NET,2017-18,2018,3,18-49 yr,14.1,2.6
Entire Network,FluSurv-NET,2017-18,2018,4,18-49 yr,16.7,2.6
Entire Network,FluSurv-NET,2017-18,2018,5,18-49 yr,19.1,2.3
Entire Network,FluSurv-NET,2017-18,2018,6,18-49 yr,21.5,2.4
Entire Network,FluSurv-NET,2017-18,2018,7,18-49 yr,23.2,1.8
Entire Network,FluSurv-NET,2017-18,2018,8,18-49 yr,24.6,1.4
Entire Network,FluSurv-NET,2017-18,2018,9,18-49 yr,25.6,1
Entire Network,FluSurv-NET,2017-18,2018,10,18-49 yr,26.4,0.8
Entire Network,FluSurv-NET,2017-18,2018,11,18-49 yr,27.1,0.7
Entire Network,FluSurv-NET,2017-18,2018,12,18-49 yr,27.8,0.7
Entire Network,FluSurv-NET,2017-18,2018,13,18-49 yr,28.5,0.7
Entire Network,FluSurv-NET,2017-18,2018,14,18-49 yr,29.1,0.6
Entire Network,FluSurv-NET,2017-18,2018,15,18-49 yr,29.4,0.3
