CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,FluSurv-NET,2013-14,2013,40,0-4 yr,0.1,0.1
Entire Network,FluSurv-NET,2013-14,2013,41,0-4 yr,0.1,0
Entire Network,FluSurv-NET,2013-14,2013,42,0-4 yr,0.2,0.1
Entire Network,FluSurv-NET,2013-14,2013,43,0-4 yr,0.5,0.3
Entire Network,FluSurv-NET,2013-14,2013,44,0-4 yr,0.7,0.2
Entire Network,FluSurv-NET,2013-14,2013,45,0-4 yr,0.9,0.2
Entire Network,FluSurv-NET,2013-14,2013,46,0-4 yr,1.1,0.2
Entire Network,FluSurv-NET,2013-14,2013,47,0-4 yr,1.6,0.5
Entire Network,FluSurv-NET,2013-14,2013,48,0-4 yr,2.8,1.3
Entire Network,FluSurv-NET,2013-14,2013,49,0-4 yr,4.6,1.8
Entire Network,FluSurv-NET,2013-14,2013,50,0-4 yr,7.2,2.6
Entire Network,FluSurv-NET,2013-14,2013,51,0-4 yr,10.2,3.1
Entire Network,FluSurv-NET,2013-14,2013,52,0-4 yr,14,3.7
Entire Network,FluSurv-NET,2013-14,2014,1,0-4 yr,20.4,6.4
Entire Network,FluSurv-NET,2013-14,2014,2,0-4 yr,25.5,5.1
Entire Network,FluSurv-NET,2013-14,2014,3,0-4 yr,29.6,4.1
Entire Network,FluSurv-NET,2013-14,2014,4,0-4 yr,32.7,3.1
Entire Network,FluSurv-NET,2013-14,2014,5,0-4 yr,35.2,2.5
Entire Network,FluSurv-NET,2013-14,2014,6,0-4 yr,37.1,1.9
Entire Network,FluSurv-NET,2013-14,2014,7,0-4 yr,38.5,1.4
Entire Network,FluSurv-NET,2013-14,2014,8,0-4 yr,40,1.5
Entire Network,FluSurv-NET,2013-14,2014,9,0-4 yr,41.2,1.2
Entire Network,FluSurv-NET,2013-14,2014,10,0-4 yr,42,0.8
Entire Network,FluSurv-NET,2013-14,2014,11,0-4 yr,42.7,0.7
Entire Network,FluSurv-NET,2013-14,2014,12,0-4 yr,43.3,0.6
Entire Network,FluSurv-NET,2013-14,2014,13,0-4 yr,44,0.7
Entire Network,FluSurv-NET,2013-14,2014,14,0-4 yr,44.9,0.8
Entire Network,FluSurv-NET,2013-14,2014,15,0-4 yr,45.7,0.8
Entire Network,FluSurv-NET,2013-14,2014,16,0-4 yr,46.6,0.9
Entire Network,FluSurv-NET,2013-14,2014,17,0-4 yr,47.3,0.7
Entire Network,FluSurv-NET,2013-14,2013,40,5-17 yr,0,0
Entire Network,FluSurv-NET,2013-14,2013,41,5-17 yr,0,0
Entire Network,FluSurv-NET,2013-14,2013,42,5-17 yr,0,0
Entire Network,FluSurv-NET,2013-14,2013,43,5-17 yr,0,0
Entire Network,FluSurv-NET,2013-14,2013,44,5-17 yr,0.1,0
Entire Network,FluSurv-NET,2013-14,2013,45,5-17 yr,0.1,0
Entire Network,FluSurv-NET,2013-14,2013,46,5-17 yr,0.2,0.1
Entire Network,FluSurv-NET,2013-14,2013,47,5-17 yr,0.3,0.1
Entire Network,FluSurv-NET,2013-14,2013,48,5-17 yr,0.5,0.2
Entire Network,FluSurv-NET,2013-14,2013,49,5-17 yr,0.8,0.3
Entire Network,FluSurv-NET,2013-14,2013,50,5-17 yr,1.3,0.5
Entire Network,FluSurv-NET,2013-14,2013,51,5-17 yr,2,0.7
Entire Network,FluSurv-NET,2013-14,2013,52,5-17 yr,2.8,0.8
Entire Network,FluSurv-NET,2013-14,2014,1,5-17 yr,3.4,0.6
Entire Network,FluSurv-NET,2013-14,2014,2,5-17 yr,4.3,0.9
