REGION TYPE,REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2013,40,1.59044,201,27,12638
States,Alaska,2013,40,0.6238,13,9,2084
States,Arizona,2013,40,0.792311,230,59,29029
States,Arkansas,2013,40,1.63326,66,18,4041
States,California,2013,40,1.52479,633,137,41514
States,Colorado,2013,40,0.652244,142,9,21771
States,Connecticut,2013,40,0.701388,47,27,6701
States,Delaware,2013,40,0.49636,15,12,3022
States,District of Columbia,2013,40,5.41463,111,3,2050
States,Florida,2013,40,X,X,X,X
States,Georgia,2013,40,1.00692,380,41,37739
States,Hawaii,2013,40,1.25261,18,16,1437
States,Idaho,2013,40,0.5631,17,8,3019
States,Illinois,2013,40,1.41144,859,105,60860
States,Indiana,2013,40,0.918555,90,38,9798
States,Iowa,2013,40,0.170691,62,21,36323
States,Kansas,2013,40,0.333611,24,32,7194
States,Kentucky,2013,40,0.242983,49,17,20166
States,Louisiana,2013,40,2.02694,596,49,29404
States,Maine,2013,40,0.823958,52,33,6311
States,Maryland,2013,40,0.544569,57,18,10467
States,Massachusetts,2013,40,0.621216,196,57,31551
States,Michigan,2013,40,1.1005,182,48,16538
States,Minnesota,2013,40,0.259572,12,12,4623
States,Mississippi,2013,40,2.57892,415,40,16092
States,Missouri,2013,40,1.10175,85,22,7715
States,Montana,2013,40,0.0852152,2,8,2347
States,Nebraska,2013,40,0.469484,11,15,2343
States,Nevada,2013,40,0.584908,91,34,15558
States,New Hampshire,2013,40,0.0760601,4,28,5259
States,New Jersey,2013,40,1.51614,162,22,10685
States,New Mexico,2013,40,1.84558,207,28,11216
States,New York,2013,40,0.582589,88,137,15105
States,North Carolina,2013,40,0.356983,64,53,17928
States,North Dakota,2013,40,0.0765697,1,8,1306
States,Ohio,2013,40,0.478911,57,38,11902
States,Oklahoma,2013,40,2.33181,87,20,3731
States,Oregon,2013,40,0.0904432,3,14,3317
States,Pennsylvania,2013,40,0.754364,137,55,18161
States,Rhode Island,2013,40,0.0931677,6,20,6440
States,South Carolina,2013,40,0.272533,14,15,5137
States,South Dakota,2013,40,0.672156,40,24,5951
