,Median Age,Population,aggregate travel time,Population (Under 18),Total Recorded Bachelor Degrees,Poverty Count,Household Income,Per Capita Income,Unemployment Count,Allocation of Healthcare Coverage,health insurance coverage,Name,State ID,Population (under 5),Polulation (over 65)
0,38.9,4874747.0,48529065.0,1094061.0,903138.0,802656.0,48123.0,26498.0,128302.0,4793512.0,4793512.0,Alabama,01,288897.0,803216.0
1,34.5,739795.0,6558400.0,185181.0,150708.0,80012.0,73181.0,34222.0,28267.0,716178.0,716178.0,Alaska,02,52919.0,83041.0
2,37.7,7016270.0,73987970.0,1632728.0,1478688.0,1018935.0,56581.0,29420.0,192721.0,6908121.0,6908121.0,Arizona,04,435041.0,1200850.0
3,38.1,3004279.0,26645190.0,708433.0,507048.0,478365.0,45869.0,25316.0,76495.0,2949305.0,2949305.0,Arkansas,05,186640.0,497024.0
4,36.5,39536653.0,512692140.0,9057386.0,9617244.0,5160208.0,71805.0,35046.0,1178551.0,39046835.0,39046835.0,California,06,2460425.0,5504817.0
5,36.8,5607154.0,68444670.0,1262359.0,1720238.0,564312.0,69117.0,36345.0,127259.0,5514070.0,5514070.0,Colorado,08,332593.0,773699.0
6,40.9,3588184.0,44596120.0,742278.0,1042266.0,334128.0,74168.0,42029.0,117360.0,3536522.0,3536522.0,Connecticut,09,182194.0,601094.0
7,40.1,961939.0,10811665.0,204313.0,223849.0,126986.0,62852.0,33887.0,24300.0,947259.0,947259.0,Delaware,10,54907.0,173217.0
8,34.0,693972.0,10723700.0,124598.0,318206.0,109920.0,82372.0,52500.0,26726.0,683808.0,683808.0,District of Columbia,11,45065.0,83992.0
9,42.0,20984400.0,244403460.0,4200780.0,4747548.0,2889506.0,52594.0,29838.0,552245.0,20678704.0,20678704.0,Florida,12,1129322.0,4215232.0
10,36.8,10429379.0,129675685.0,2514765.0,2269874.0,1517702.0,56183.0,29668.0,296040.0,10241594.0,10241594.0,Georgia,13,655223.0,1401850.0
11,39.2,1427538.0,18177550.0,305997.0,346638.0,132549.0,77765.0,33882.0,29762.0,1373202.0,1373202.0,Hawaii,15,89573.0,253750.0
12,36.3,1716943.0,15362010.0,443285.0,319651.0,216309.0,52225.0,26386.0,34000.0,1695273.0,1695273.0,Idaho,16,116226.0,262594.0
13,38.0,12802023.0,169529645.0,2895090.0,3230067.0,1569753.0,62992.0,34196.0,407967.0,12620126.0,12620126.0,Illinois,17,767348.0,1947595.0
14,37.7,6666818.0,70727645.0,1574031.0,1286099.0,871247.0,54181.0,28323.0,158556.0,6568434.0,6568434.0,Indiana,18,419552.0,1023886.0
15,38.3,3145711.0,29439720.0,730350.0,666576.0,326636.0,58570.0,30865.0,60190.0,3102179.0,3102179.0,Iowa,19,198623.0,524624.0
16,36.7,2913123.0,26097150.0,712575.0,700670.0,336487.0,56422.0,30146.0,63084.0,2855454.0,2855454.0,Kansas,20,193049.0,447451.0
17,38.9,4454189.0,43615645.0,1014604.0,783647.0,744239.0,48375.0,26779.0,115271.0,4370940.0,4370940.0,Kentucky,21,276356.0,709048.0
18,36.8,4684333.0,48954365.0,1109242.0,785833.0,899039.0,46145.0,25885.0,141608.0,4580258.0,4580258.0,Louisiana,22,306213.0,696111.0
19,44.6,1335907.0,14863630.0,254202.0,338987.0,144012.0,56277.0,31088.0,29493.0,1321649.0,1321649.0,Maine,23,64390.0,266741.0
20,38.7,6052177.0,97097840.0,1346950.0,1780447.0,549171.0,80776.0,39960.0,170419.0,5957871.0,5957871.0,Maryland,24,363313.0,902586.0
21,39.5,6859819.0,99649360.0,1370584.0,2253156.0,692201.0,77385.0,41821.0,172091.0,6785622.0,6785622.0,Massachusetts,25,360336.0,1107824.0
